GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|NAICS2012|NAICS2012_TTL|FOOTID_NAICS|YEAR|EMP|EMP_F|EMP_S|EMP_S_F|PAYANN|PAYANN_F|PAYANN_S|PAYANN_S_F|EMPAVPW|EMPAVPW_F|EMPAVPW_S|EMPAVPW_S_F|HOURS|HOURS_F|HOURS_S|HOURS_S_F|PAYANPW|PAYANPW_F|PAYANPW_S|PAYANPW_S_F|CSTMTOT|CSTMTOT_F|CSTMTOT_S|CSTMTOT_S_F|RCPTOT|RCPTOT_F|RCPTOT_S|RCPTOT_S_F|VALADD|VALADD_F|VALADD_S|VALADD_S_F|CEXTOT|CEXTOT_F|CEXTOT_S|CEXTOT_S_F
01|00|0100000US|United States||31-33|Manufacturing||2015|11166953||.1||636503615||.1||7807966||.1||15968906||.1||360741434||.1||3117562078||.1||5546997924||.1||2430098147||.1||175387681||.2|
01|00|0100000US|United States||31-33|Manufacturing||2014|10998862||.1||616964064||.1||7729203||.1||15824594||.1||350741168||.1||3505622153||.1||5887555731||.1||2387163183||.1||173849747||.4|
01|00|0100000US|United States||311|Food manufacturing||2015|1389119||.4||59567217||.3||1100634||.4||2263875||.4||41300411||.4||493425315||.2||775591243||.2||282651072||.3||17433774||1.0|
01|00|0100000US|United States||311|Food manufacturing||2014|1368487||.4||57360213||.3||1084441||.4||2227959||.4||39284093||.3||519958544||.2||793831101||.2||274505329||.3||17141681||1.7|
01|00|0100000US|United States||3111|Animal food manufacturing||2015|44179||2.5||2419951||1.3||30661||3.1||67096||2.6||1547510||1.6||42124150||.8||59606130||.6||17567481||1.0||1159964||4.2|
01|00|0100000US|United States||3111|Animal food manufacturing||2014|43949||.8||2327645||.9||30124||.8||66468||1.1||1428168||.7||42512265||.7||59350787||.7||16877886||1.1||1343786||20.1|
01|00|0100000US|United States||3112|Grain and oilseed milling||2015|53655||1.0||3285192||.7||38786||1.1||85426||1.0||2185473||.8||64871018||.3||89457591||.3||24586644||.5||1438559||1.2|
01|00|0100000US|United States||3112|Grain and oilseed milling||2014|52798||.6||3115672||.5||38404||.7||82336||.6||2092774||.4||72774363||.2||98023252||.2||24960623||.3||1461091||1.6|
01|00|0100000US|United States||3113|Sugar and confectionery product manufacturing||2015|72316||.8||3348628||.7||53358||1.0||105372||1.1||2232095||.5||18492637||.3||34863942||.3||16431887||.6||1226808||.6|
01|00|0100000US|United States||3113|Sugar and confectionery product manufacturing||2014|67533||.5||3144230||.5||49612||.8||98896||.6||2060304||.5||17653854||.3||32694291||.3||14971753||.6||971125||.8|
